Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,40,296,237,554,-,11,1,-,
New England,6,10,21,18,-,1,-,-,
Connecticut,1,4,6,7,-,0,-,-,
Maine,1,1,2,1,-,0,-,-,
Massachusetts,4,8,13,10,-,1,-,-,
New Hampshire,-,2,-,-,-,0,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,16,73,77,93,-,2,-,-,
New Jersey,3,56,9,7,-,2,-,-,
New York (excluding New York City),2,9,12,12,-,1,-,-,
New York City,8,19,48,58,-,1,-,-,
Pennsylvania,3,8,8,16,-,0,-,-,
East North Central,-,64,10,41,-,3,1,-,
Illinois,-,39,-,16,-,1,-,-,
Indiana,-,21,4,6,-,2,-,-,
Michigan,-,11,-,13,-,1,1,-,
Ohio,-,20,5,-,-,1,-,-,
Wisconsin,-,4,1,6,-,1,-,-,
West North Central,-,25,7,26,-,6,-,-,
Iowa,-,4,-,9,-,1,-,-,
Kansas,-,7,-,2,-,3,-,-,
Minnesota,-,17,6,4,-,0,-,-,
Missouri,-,5,1,7,-,1,-,-,
Nebraska,-,2,-,1,-,1,-,-,
North Dakota,-,2,-,1,-,1,-,-,
South Dakota,-,2,-,2,-,4,-,-,
South Atlantic,7,52,18,30,-,1,-,-,
Delaware,-,18,-,-,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,-,20,-,0,-,-,
Maryland,-,19,-,4,-,1,-,-,
North Carolina,1,22,6,-,-,1,-,-,
South Carolina,2,8,2,-,-,0,-,-,
Virginia,3,11,9,6,-,0,-,-,
West Virginia,1,2,1,-,-,1,-,-,
East South Central,7,15,31,17,-,2,-,-,
Alabama,5,8,11,6,-,0,-,-,
Kentucky,1,5,7,3,-,2,-,-,
Mississippi,-,4,3,-,-,0,-,-,
Tennessee,1,7,10,8,-,1,-,-,
West South Central,1,36,18,102,-,1,-,-,
Arkansas,-,6,2,6,-,1,-,-,
Louisiana,-,10,7,4,-,0,-,-,
Oklahoma,1,4,7,5,-,1,-,-,
Texas,-,31,2,87,-,1,-,-,
Mountain,2,14,14,36,-,2,-,-,
Arizona,-,6,4,14,-,0,-,-,
Colorado,1,5,3,7,-,1,-,-,
Idaho,-,1,1,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,4,8,-,0,-,-,
New Mexico,1,2,1,5,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,1,80,41,191,-,2,-,-,
Alaska,-,4,3,13,-,0,-,-,
California,-,69,8,132,-,2,-,-,
Hawaii,1,8,9,9,-,0,-,-,
Oregon,-,9,9,11,-,1,-,-,
Washington,-,9,12,26,-,0,-,-,
U.S. Territories,1,7,7,8,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,2,-,-,0,-,-,
Guam,1,3,4,6,-,0,-,-,
Puerto Rico,-,2,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,41,298,244,562,-,11,1,-,
