Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,30,317,491,1,013,-,12,1,3,
New England,1,10,40,36,-,1,-,-,
Connecticut,-,4,8,10,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,1,8,28,22,-,1,-,-,
New Hampshire,-,2,2,-,-,0,-,-,
Rhode Island,-,2,-,3,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,15,82,137,168,-,2,-,-,
New Jersey,2,68,27,30,-,2,-,-,
New York (excluding New York City),-,9,1,25,-,1,-,-,
New York City,12,19,89,84,-,1,-,-,
Pennsylvania,1,8,20,29,-,0,-,-,
East North Central,3,66,52,76,-,3,1,1,
Illinois,-,40,16,31,-,1,-,-,
Indiana,3,21,10,11,-,2,-,1,
Michigan,-,11,5,18,-,1,1,-,
Ohio,-,20,11,1,-,1,-,-,
Wisconsin,-,4,10,15,-,1,-,-,
West North Central,-,25,14,44,-,6,-,-,
Iowa,-,4,-,12,-,1,-,-,
Kansas,-,7,-,5,-,3,-,-,
Minnesota,-,17,12,7,-,0,-,-,
Missouri,-,5,1,11,-,1,-,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,3,-,4,-,-,
South Atlantic,2,52,47,78,-,1,-,-,
Delaware,1,19,1,1,-,0,-,-,
District of Columbia,-,2,-,1,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,1,36,-,0,-,-,
Maryland,-,19,-,20,-,1,-,-,
North Carolina,1,22,15,4,-,1,-,-,
South Carolina,-,8,6,5,-,0,-,-,
Virginia,-,11,22,11,-,0,-,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,4,15,50,35,-,2,-,1,
Alabama,-,8,12,15,-,0,-,-,
Kentucky,2,5,14,8,-,2,-,-,
Mississippi,-,4,6,1,-,0,-,-,
Tennessee,2,7,18,11,-,1,-,1,
West South Central,1,37,34,188,-,2,-,1,
Arkansas,-,6,10,14,-,2,-,1,
Louisiana,1,10,12,9,-,0,-,-,
Oklahoma,-,5,10,5,-,1,-,-,
Texas,-,30,2,160,-,1,-,-,
Mountain,2,14,29,55,-,2,-,-,
Arizona,-,6,9,25,-,0,-,-,
Colorado,-,5,3,10,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,2,5,10,12,-,0,-,-,
New Mexico,-,2,4,6,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,2,82,88,333,-,2,-,-,
Alaska,-,4,4,18,-,0,-,-,
California,-,71,18,247,-,2,-,-,
Hawaii,1,8,16,15,-,0,-,-,
Oregon,1,8,21,14,-,1,-,-,
Washington,-,9,29,39,-,0,-,-,
U.S. Territories,-,8,16,14,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,5,1,-,0,-,-,
Guam,-,3,10,11,-,0,-,-,
Puerto Rico,-,3,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,30,319,507,1,027,-,12,1,3,
