Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,35,334,3,162,4,966,1,9,83,119,
New England,-,11,151,163,-,1,2,3,
Connecticut,-,5,42,36,-,0,-,-,
Maine,-,2,8,9,-,1,1,-,
Massachusetts,-,8,92,96,-,1,1,3,
New Hampshire,-,2,4,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,8,85,626,683,-,1,1,6,
New Jersey,-,68,129,140,-,1,1,4,
New York (excluding New York City),-,9,9,98,-,1,-,-,
New York City,6,19,388,339,-,0,-,2,
Pennsylvania,2,8,100,106,-,0,-,-,
East North Central,1,65,364,466,-,3,7,7,
Illinois,1,42,142,170,-,2,5,1,
Indiana,-,15,55,87,-,2,1,3,
Michigan,-,8,59,97,-,1,1,1,
Ohio,-,17,71,71,-,1,-,-,
Wisconsin,-,4,37,41,-,1,-,2,
West North Central,6,25,207,216,1,6,42,55,
Iowa,-,4,24,34,-,2,4,2,
Kansas,-,10,35,26,-,4,14,20,
Minnesota,4,14,69,82,-,0,-,1,
Missouri,2,5,56,47,-,3,11,9,
Nebraska,-,3,15,11,1,2,10,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,5,9,-,1,1,14,
South Atlantic,13,66,781,885,-,1,3,4,
Delaware,-,2,6,34,-,0,-,-,
District of Columbia,-,2,8,10,-,0,-,-,
Florida,2,18,347,343,-,1,-,-,
Georgia,-,11,128,149,-,0,-,-,
Maryland,-,20,32,110,-,1,-,-,
North Carolina,7,22,79,91,-,1,2,2,
South Carolina,-,8,55,47,-,0,-,-,
Virginia,4,9,119,95,-,1,1,-,
West Virginia,-,2,7,6,-,1,-,2,
East South Central,1,11,196,174,-,1,-,11,
Alabama,-,8,46,54,-,0,-,-,
Kentucky,1,4,48,37,-,1,-,7,
Mississippi,-,4,29,26,-,0,-,-,
Tennessee,-,7,73,57,-,0,-,4,
West South Central,2,36,286,798,-,3,14,20,
Arkansas,-,4,41,50,-,2,10,18,
Louisiana,-,10,59,51,-,0,-,-,
Oklahoma,2,4,44,39,-,2,4,1,
Texas,-,25,142,658,-,0,-,1,
Mountain,2,14,222,185,-,2,8,10,
Arizona,1,8,82,89,-,1,1,-,
Colorado,-,6,38,31,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,46,40,-,0,-,-,
New Mexico,1,4,23,16,-,0,-,-,
Utah,-,3,23,5,-,1,3,2,
Wyoming,-,1,-,2,-,1,-,1,
Pacific,2,80,329,1,396,-,1,6,3,
Alaska,1,7,66,39,-,0,-,-,
California,-,69,4,1,106,-,1,1,2,
Hawaii,-,8,53,65,-,0,-,-,
Oregon,1,8,46,49,-,1,2,1,
Washington,-,11,160,137,-,1,3,-,
U.S. Territories,-,6,62,80,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,26,-,0,-,-,
Guam,-,4,39,42,-,0,-,-,
Puerto Rico,-,3,12,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,35,336,3,224,5,046,1,9,83,119,
