Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,56,334,2,003,3,399,3,13,26,58,
New England,1,11,98,119,1,1,2,-,
Connecticut,-,4,25,25,-,0,-,-,
Maine,-,1,3,7,1,0,1,-,
Massachusetts,1,8,64,71,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,3,9,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,12,85,442,462,-,2,-,2,
New Jersey,3,68,92,73,-,2,-,1,
New York (excluding New York City),-,9,17,71,-,1,-,-,
New York City,8,19,264,244,-,1,-,1,
Pennsylvania,1,8,69,74,-,0,-,-,
East North Central,5,65,216,266,-,3,6,5,
Illinois,-,40,77,91,-,1,4,-,
Indiana,4,21,43,60,-,2,1,3,
Michigan,-,10,31,60,-,1,1,-,
Ohio,-,20,37,24,-,1,-,-,
Wisconsin,1,4,28,31,-,1,-,2,
West North Central,4,25,115,128,1,5,12,30,
Iowa,-,4,14,20,-,1,1,1,
Kansas,-,5,-,20,-,3,4,11,
Minnesota,3,17,46,34,-,0,-,-,
Missouri,1,5,40,35,-,1,2,5,
Nebraska,-,2,9,7,1,1,3,1,
North Dakota,-,2,3,5,-,1,2,1,
South Dakota,-,2,3,7,-,2,-,11,
South Atlantic,18,66,529,622,-,1,1,1,
Delaware,-,2,6,28,-,0,-,-,
District of Columbia,-,2,5,6,-,0,-,-,
Florida,4,17,245,248,-,1,-,-,
Georgia,1,11,100,111,-,0,-,-,
Maryland,-,20,-,75,-,1,-,-,
North Carolina,3,22,50,56,-,1,1,1,
South Carolina,7,8,38,35,-,0,-,-,
Virginia,3,10,80,59,-,1,-,-,
West Virginia,-,2,5,4,-,1,-,-,
East South Central,1,13,139,122,-,1,-,7,
Alabama,-,8,36,38,-,0,-,-,
Kentucky,-,4,29,25,-,1,-,6,
Mississippi,1,4,24,17,-,0,-,-,
Tennessee,-,7,50,42,-,1,-,1,
West South Central,2,36,98,566,1,2,3,8,
Arkansas,-,6,27,35,-,2,1,7,
Louisiana,1,10,39,36,-,0,-,-,
Oklahoma,1,4,29,28,1,1,2,1,
Texas,-,30,3,467,-,1,-,-,
Mountain,7,14,138,134,-,2,2,5,
Arizona,-,6,44,61,-,0,-,-,
Colorado,4,5,26,25,-,1,2,2,
Idaho,-,2,5,-,-,0,-,2,
Montana,-,1,1,1,-,1,-,-,
Nevada,2,5,31,31,-,0,-,-,
New Mexico,1,5,16,13,-,0,-,-,
Utah,-,3,15,2,-,1,-,1,
Wyoming,-,1,-,1,-,1,-,-,
Pacific,6,80,228,980,-,2,-,-,
Alaska,1,7,49,24,-,0,-,-,
California,-,69,4,772,-,1,-,-,
Hawaii,4,8,42,51,-,0,-,-,
Oregon,1,8,31,40,-,1,-,-,
Washington,-,10,102,93,-,1,-,-,
U.S. Territories,-,8,38,50,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,11,-,0,-,-,
Guam,-,3,23,30,-,0,-,-,
Puerto Rico,-,3,9,6,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,56,336,2,041,3,449,3,13,26,58,
