Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,68,333,4,593,7,053,-,13,127,155,
New England,4,12,223,228,-,1,2,5,
Connecticut,-,5,58,54,-,0,-,-,
Maine,3,2,17,12,-,1,1,-,
Massachusetts,1,8,126,132,-,1,1,5,
New Hampshire,-,1,4,10,-,0,-,-,
Rhode Island,-,2,15,17,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,
Middle Atlantic,15,82,874,981,-,1,2,7,
New Jersey,3,65,224,203,-,1,1,4,
New York (excluding New York City),-,9,2,132,-,1,1,1,
New York City,12,18,497,498,-,0,-,2,
Pennsylvania,-,17,151,148,-,0,-,-,
East North Central,15,65,562,678,-,2,12,17,
Illinois,-,42,226,247,-,2,7,4,
Indiana,2,15,77,122,-,1,2,5,
Michigan,1,8,89,122,-,1,3,1,
Ohio,12,17,124,124,-,0,-,2,
Wisconsin,-,4,46,63,-,0,-,5,
West North Central,3,25,272,302,-,7,62,62,
Iowa,-,6,40,45,-,2,5,2,
Kansas,-,10,35,38,-,5,26,22,
Minnesota,3,14,101,108,-,1,1,1,
Missouri,-,4,64,70,-,2,15,11,
Nebraska,-,3,19,20,-,2,12,9,
North Dakota,-,1,5,10,-,1,2,3,
South Dakota,-,2,8,11,-,1,1,14,
South Atlantic,24,68,1,142,1,241,-,1,5,7,
Delaware,1,1,11,39,-,0,-,-,
District of Columbia,-,2,11,16,-,0,-,-,
Florida,2,17,467,457,-,0,-,1,
Georgia,1,11,210,193,-,0,-,1,
Maryland,-,22,59,169,-,1,1,1,
North Carolina,7,22,116,146,-,1,3,2,
South Carolina,11,8,93,72,-,0,-,-,
Virginia,2,8,166,143,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,5,11,253,255,-,1,5,15,
Alabama,-,5,57,84,-,1,1,-,
Kentucky,3,4,66,51,-,1,4,11,
Mississippi,-,4,36,40,-,0,-,-,
Tennessee,2,7,94,80,-,0,-,4,
West South Central,-,35,500,1,124,-,6,23,23,
Arkansas,-,4,60,64,-,2,17,21,
Louisiana,-,10,59,79,-,0,-,-,
Oklahoma,-,3,45,64,-,6,6,1,
Texas,-,26,336,917,-,0,-,1,
Mountain,2,14,294,281,-,1,8,12,
Arizona,-,9,124,124,-,1,1,-,
Colorado,-,6,50,52,-,1,3,3,
Idaho,-,2,9,4,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,58,-,0,-,-,
New Mexico,-,4,28,23,-,0,-,-,
Utah,2,3,31,15,-,1,3,3,
Wyoming,-,1,-,2,-,0,-,2,
Pacific,-,80,473,1,963,-,2,8,7,
Alaska,-,7,87,55,-,0,-,-,
California,-,69,2,1,556,-,1,3,2,
Hawaii,-,5,88,96,-,0,-,-,
Oregon,-,8,65,71,-,1,2,2,
Washington,-,13,231,185,-,1,3,3,
U.S. Territories,1,6,74,111,-,0,-,-,
American Samoa,-,0,-,4,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,33,-,0,-,-,
Guam,-,4,45,56,-,0,-,-,
Puerto Rico,1,3,18,16,-,0,-,-,
U.S. Virgin Islands,-,1,-,2,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,69,335,4,667,7,164,-,13,127,155,
