Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,45,333,5,024,7,400,1,12,129,154,
New England,-,12,234,237,-,1,2,5,
Connecticut,-,5,59,54,-,0,-,-,
Maine,-,3,17,13,-,1,1,-,
Massachusetts,-,8,137,140,-,1,1,5,
New Hampshire,-,1,4,10,-,0,-,-,
Rhode Island,-,2,14,17,-,0,-,-,
Vermont,-,1,3,3,-,0,-,-,
Middle Atlantic,20,82,908,1,041,-,1,2,7,
New Jersey,6,65,236,221,-,1,1,4,
New York (excluding New York City),-,9,2,138,-,1,1,1,
New York City,14,18,519,521,-,0,-,2,
Pennsylvania,-,17,151,161,-,0,-,-,
East North Central,3,53,589,692,-,2,12,17,
Illinois,-,42,228,247,-,2,7,4,
Indiana,-,14,83,124,-,1,2,5,
Michigan,1,8,97,126,-,1,3,1,
Ohio,1,17,132,131,-,0,-,2,
Wisconsin,1,4,49,64,-,0,-,5,
West North Central,3,25,283,312,-,6,63,62,
Iowa,-,6,44,45,-,2,5,2,
Kansas,-,11,35,38,-,5,26,22,
Minnesota,3,14,104,114,-,1,1,1,
Missouri,-,4,66,72,-,2,16,11,
Nebraska,-,3,19,20,-,2,12,9,
North Dakota,-,1,5,12,-,1,2,3,
South Dakota,-,2,10,11,-,1,1,14,
South Atlantic,6,68,1,175,1,310,-,1,5,6,
Delaware,-,1,12,41,-,0,-,-,
District of Columbia,2,2,13,17,-,0,-,-,
Florida,2,17,481,482,-,0,-,-,
Georgia,-,12,216,202,-,0,-,1,
Maryland,-,22,60,175,-,1,1,1,
North Carolina,1,22,120,152,-,1,3,2,
South Carolina,-,11,95,80,-,0,-,-,
Virginia,1,8,169,155,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,6,11,275,264,-,1,5,15,
Alabama,1,5,58,86,-,1,1,-,
Kentucky,-,4,68,57,-,1,4,11,
Mississippi,-,4,46,41,-,0,-,-,
Tennessee,5,7,103,80,-,0,-,4,
West South Central,2,35,763,1,170,1,6,24,23,
Arkansas,-,4,60,67,-,2,17,21,
Louisiana,-,8,59,80,-,0,-,-,
Oklahoma,-,3,45,68,-,6,6,1,
Texas,2,30,599,955,1,0,1,1,
Mountain,2,14,307,290,-,1,8,12,
Arizona,-,12,134,126,-,1,1,-,
Colorado,-,6,52,54,-,1,3,3,
Idaho,1,2,10,5,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,59,-,0,-,-,
New Mexico,1,4,28,23,-,0,-,-,
Utah,-,3,31,17,-,1,3,3,
Wyoming,-,0,-,3,-,0,-,2,
Pacific,3,80,490,2,084,-,2,8,7,
Alaska,1,7,88,56,-,0,-,-,
California,-,69,-,1,656,-,1,3,2,
Hawaii,1,5,96,103,-,0,-,-,
Oregon,1,5,67,74,-,1,2,2,
Washington,-,13,239,195,-,1,3,3,
U.S. Territories,3,5,86,112,-,0,-,-,
American Samoa,-,0,-,4,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,34,-,0,-,-,
Guam,3,4,56,56,-,0,-,-,
Puerto Rico,-,3,19,16,-,0,-,-,
U.S. Virgin Islands,-,0,-,2,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,48,335,5,110,7,512,1,12,129,154,
