Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,36,302,313,645,-,11,1,2,
New England,-,10,23,22,-,1,-,-,
Connecticut,-,4,6,8,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,-,8,15,12,-,1,-,-,
New Hampshire,-,2,-,-,-,0,-,-,
Rhode Island,-,2,-,1,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,19,74,99,118,-,2,-,-,
New Jersey,5,57,14,13,-,2,-,-,
New York (excluding New York City),2,9,16,19,-,1,-,-,
New York City,7,19,55,65,-,1,-,-,
Pennsylvania,5,8,14,21,-,0,-,-,
East North Central,-,65,19,45,-,3,1,1,
Illinois,-,40,8,16,-,1,-,-,
Indiana,-,21,4,6,-,2,-,1,
Michigan,-,11,-,14,-,1,1,-,
Ohio,-,20,5,-,-,1,-,-,
Wisconsin,-,4,2,9,-,1,-,-,
West North Central,2,25,10,31,-,6,-,-,
Iowa,-,4,-,10,-,1,-,-,
Kansas,-,7,-,2,-,3,-,-,
Minnesota,2,17,9,4,-,0,-,-,
Missouri,-,5,1,9,-,1,-,-,
Nebraska,-,2,-,3,-,1,-,-,
North Dakota,-,2,-,1,-,1,-,-,
South Dakota,-,2,-,2,-,4,-,-,
South Atlantic,7,53,27,42,-,1,-,-,
Delaware,-,18,-,-,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,-,24,-,0,-,-,
Maryland,-,19,-,6,-,1,-,-,
North Carolina,-,22,6,-,-,1,-,-,
South Carolina,-,8,4,3,-,0,-,-,
Virginia,6,11,15,9,-,0,-,-,
West Virginia,1,2,2,-,-,1,-,-,
East South Central,5,15,36,21,-,2,-,1,
Alabama,1,8,12,9,-,0,-,-,
Kentucky,3,5,10,4,-,2,-,-,
Mississippi,-,4,3,-,-,0,-,-,
Tennessee,1,7,11,8,-,1,-,1,
West South Central,1,37,26,105,-,1,-,-,
Arkansas,1,6,10,6,-,1,-,-,
Louisiana,-,10,7,4,-,0,-,-,
Oklahoma,-,4,7,5,-,1,-,-,
Texas,-,31,2,90,-,1,-,-,
Mountain,1,14,18,42,-,2,-,-,
Arizona,-,6,5,16,-,0,-,-,
Colorado,-,5,3,9,-,1,-,-,
Idaho,-,1,1,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,6,10,-,0,-,-,
New Mexico,1,2,2,5,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,1,80,55,219,-,2,-,-,
Alaska,-,4,4,14,-,0,-,-,
California,-,69,11,153,-,2,-,-,
Hawaii,-,8,9,11,-,0,-,-,
Oregon,1,8,15,14,-,1,-,-,
Washington,-,9,16,27,-,0,-,-,
U.S. Territories,-,7,7,10,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,2,-,-,0,-,-,
Guam,-,3,4,8,-,0,-,-,
Puerto Rico,-,2,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,36,304,320,655,-,11,1,2,
