Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,51,334,2,891,4,641,1,8,75,115,
New England,3,11,144,157,-,1,2,3,
Connecticut,-,5,40,34,-,0,-,-,
Maine,-,1,5,9,-,1,1,-,
Massachusetts,3,8,91,92,-,1,1,3,
New Hampshire,-,2,3,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,11,85,605,634,-,1,1,5,
New Jersey,-,68,129,123,-,1,1,4,
New York (excluding New York City),-,9,10,90,-,1,-,-,
New York City,9,19,373,322,-,1,-,1,
Pennsylvania,2,8,93,99,-,0,-,-,
East North Central,6,65,342,420,-,3,6,7,
Illinois,-,40,123,144,-,1,4,1,
Indiana,1,15,56,84,-,2,1,3,
Michigan,5,8,58,88,-,1,1,1,
Ohio,-,17,70,64,-,1,-,-,
Wisconsin,-,4,35,40,-,1,-,2,
West North Central,-,25,190,196,-,6,40,54,
Iowa,-,4,24,29,-,2,4,2,
Kansas,-,10,29,26,-,4,14,20,
Minnesota,-,14,62,74,-,0,-,1,
Missouri,-,5,52,43,-,3,11,9,
Nebraska,-,3,15,9,-,2,8,6,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,5,8,-,1,1,14,
South Atlantic,12,66,742,833,-,1,3,3,
Delaware,-,2,6,33,-,0,-,-,
District of Columbia,1,2,8,9,-,0,-,-,
Florida,4,18,333,324,-,1,-,-,
Georgia,-,11,128,139,-,0,-,-,
Maryland,1,20,32,106,-,1,-,-,
North Carolina,-,22,72,83,-,1,2,2,
South Carolina,5,8,50,44,-,0,-,-,
Virginia,1,9,106,89,-,1,1,-,
West Virginia,-,2,7,6,-,1,-,1,
East South Central,7,13,187,156,-,1,-,11,
Alabama,1,8,43,49,-,0,-,-,
Kentucky,2,4,45,32,-,1,-,7,
Mississippi,-,4,29,23,-,0,-,-,
Tennessee,4,7,70,52,-,1,-,4,
West South Central,3,36,164,752,1,3,10,19,
Arkansas,-,6,41,42,1,1,6,17,
Louisiana,2,10,57,47,-,0,-,-,
Oklahoma,1,4,41,37,-,2,4,1,
Texas,-,25,25,626,-,0,-,1,
Mountain,3,14,200,178,-,2,8,10,
Arizona,-,7,65,84,-,1,1,-,
Colorado,-,6,37,31,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,1,1,-,0,-,2,
Nevada,2,5,45,40,-,0,-,-,
New Mexico,-,5,22,16,-,0,-,-,
Utah,1,3,23,4,-,1,3,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,6,80,317,1,315,-,1,5,3,
Alaska,3,7,65,34,-,0,-,-,
California,-,69,4,1,044,-,1,1,2,
Hawaii,-,8,50,59,-,0,-,-,
Oregon,3,8,43,47,-,1,1,1,
Washington,-,11,155,131,-,1,3,-,
U.S. Territories,2,6,58,77,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,25,-,0,-,-,
Guam,2,4,37,40,-,0,-,-,
Puerto Rico,-,3,10,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,53,336,2,949,4,718,1,8,75,115,
