Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,31,333,4,277,6,530,2,13,128,152,
New England,1,12,205,208,-,1,2,5,
Connecticut,-,5,53,50,-,0,-,-,
Maine,-,2,15,12,-,1,1,-,
Massachusetts,1,8,118,117,-,1,1,5,
New Hampshire,-,2,4,10,-,0,-,-,
Rhode Island,-,2,14,16,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,7,82,817,904,1,1,2,7,
New Jersey,5,65,203,184,-,1,1,4,
New York (excluding New York City),-,9,4,125,1,1,1,1,
New York City,1,18,466,456,-,0,-,2,
Pennsylvania,1,10,144,139,-,0,-,-,
East North Central,2,65,512,604,-,2,11,17,
Illinois,-,42,219,207,-,2,7,4,
Indiana,1,15,72,107,-,1,1,5,
Michigan,1,8,86,118,-,1,3,1,
Ohio,-,17,89,112,-,0,-,2,
Wisconsin,-,4,46,60,-,0,-,5,
West North Central,4,25,256,283,-,7,66,60,
Iowa,-,4,34,41,-,2,5,2,
Kansas,-,9,35,35,-,5,25,22,
Minnesota,4,14,96,107,-,1,1,1,
Missouri,-,4,60,63,-,3,20,10,
Nebraska,-,3,19,18,-,2,12,9,
North Dakota,-,2,4,8,-,1,2,2,
South Dakota,-,2,8,11,-,1,1,14,
South Atlantic,11,68,1,065,1,153,-,1,5,7,
Delaware,1,1,10,37,-,0,-,-,
District of Columbia,-,2,11,15,-,0,-,-,
Florida,-,17,442,432,-,0,-,1,
Georgia,-,11,186,180,-,0,-,1,
Maryland,-,22,59,155,-,1,1,1,
North Carolina,1,22,106,130,-,1,3,2,
South Carolina,3,8,80,67,-,0,-,-,
Virginia,6,8,162,131,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,2,11,244,237,-,1,5,15,
Alabama,-,5,57,80,-,1,1,-,
Kentucky,-,4,62,49,-,1,4,11,
Mississippi,-,4,36,35,-,0,-,-,
Tennessee,2,7,89,73,-,0,-,4,
West South Central,-,35,460,1,052,1,3,22,23,
Arkansas,-,4,58,61,-,2,17,21,
Louisiana,-,10,59,68,-,0,-,-,
Oklahoma,-,4,45,58,1,2,5,1,
Texas,-,25,298,865,-,0,-,1,
Mountain,2,14,274,256,-,1,8,12,
Arizona,-,8,107,115,-,1,1,-,
Colorado,-,6,50,46,-,1,3,3,
Idaho,-,2,8,3,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,54,-,0,-,-,
New Mexico,1,4,28,22,-,0,-,-,
Utah,1,3,29,11,-,1,3,3,
Wyoming,-,1,-,2,-,0,-,2,
Pacific,2,80,444,1,833,-,1,7,6,
Alaska,1,7,86,52,-,0,-,-,
California,-,69,2,1,460,-,1,2,2,
Hawaii,-,5,78,88,-,0,-,-,
Oregon,1,8,61,63,-,1,2,2,
Washington,-,13,217,170,-,1,3,2,
U.S. Territories,1,6,73,99,-,0,-,-,
American Samoa,-,1,-,4,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,32,-,0,-,-,
Guam,1,4,45,50,-,0,-,-,
Puerto Rico,-,3,17,12,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,32,335,4,350,6,629,2,13,128,152,
