Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,65,332,4,196,6,389,-,13,120,146,
New England,-,12,196,203,-,1,2,5,
Connecticut,-,5,53,50,-,0,-,-,
Maine,-,2,9,12,-,1,1,-,
Massachusetts,-,8,115,114,-,1,1,5,
New Hampshire,-,2,4,8,-,0,-,-,
Rhode Island,-,2,14,16,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,13,82,808,880,-,1,1,6,
New Jersey,4,65,199,182,-,1,1,4,
New York (excluding New York City),-,9,4,124,-,1,-,-,
New York City,8,18,462,440,-,0,-,2,
Pennsylvania,1,10,143,134,-,0,-,-,
East North Central,17,65,500,593,-,2,11,17,
Illinois,11,42,209,207,-,2,7,4,
Indiana,4,15,71,107,-,1,1,5,
Michigan,1,8,85,112,-,1,3,1,
Ohio,-,17,89,108,-,1,-,2,
Wisconsin,1,4,46,59,-,1,-,5,
West North Central,4,25,249,280,-,7,61,59,
Iowa,-,4,33,40,-,2,5,2,
Kansas,-,9,35,35,-,5,20,22,
Minnesota,3,14,90,106,-,1,1,1,
Missouri,-,4,60,62,-,3,20,9,
Nebraska,1,3,19,18,-,2,12,9,
North Dakota,-,2,4,8,-,1,2,2,
South Dakota,-,2,8,11,-,1,1,14,
South Atlantic,20,67,1,037,1,135,-,1,4,6,
Delaware,1,1,9,37,-,0,-,-,
District of Columbia,2,1,11,15,-,0,-,-,
Florida,5,17,438,430,-,0,-,1,
Georgia,-,11,184,179,-,0,-,-,
Maryland,3,21,55,152,-,1,1,1,
North Carolina,4,22,104,127,-,1,2,2,
South Carolina,-,8,71,63,-,0,-,-,
Virginia,5,8,156,126,-,1,1,-,
West Virginia,-,2,9,6,-,0,-,2,
East South Central,7,11,234,231,-,1,5,14,
Alabama,1,5,57,79,-,1,1,-,
Kentucky,3,4,62,48,-,1,4,10,
Mississippi,-,4,28,33,-,0,-,-,
Tennessee,3,7,87,71,-,0,-,4,
West South Central,-,35,458,1,029,-,3,21,23,
Arkansas,-,4,58,60,-,2,17,21,
Louisiana,-,10,59,68,-,0,-,-,
Oklahoma,-,4,45,58,-,2,4,1,
Texas,-,25,296,843,-,0,-,1,
Mountain,2,14,272,242,-,1,8,12,
Arizona,-,8,107,110,-,1,1,-,
Colorado,-,6,50,44,-,1,3,3,
Idaho,-,2,8,3,-,1,1,2,
Montana,-,1,5,3,-,0,-,2,
Nevada,-,5,47,49,-,0,-,-,
New Mexico,-,4,27,20,-,0,-,-,
Utah,2,3,28,11,-,1,3,3,
Wyoming,-,1,-,2,-,0,-,2,
Pacific,2,80,442,1,796,-,1,7,4,
Alaska,2,7,85,52,-,0,-,-,
California,-,69,2,1,428,-,1,2,2,
Hawaii,-,5,78,86,-,0,-,-,
Oregon,-,8,59,62,-,1,2,2,
Washington,-,14,218,168,-,1,3,-,
U.S. Territories,-,6,72,97,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,32,-,0,-,-,
Guam,-,4,44,49,-,0,-,-,
Puerto Rico,-,3,17,12,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,65,334,4,268,6,486,-,13,120,146,
