Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,47,334,3,313,5,102,-,9,92,122,
New England,-,11,155,170,-,1,2,3,
Connecticut,-,5,44,40,-,0,-,-,
Maine,-,2,8,9,-,1,1,-,
Massachusetts,-,8,94,99,-,1,1,3,
New Hampshire,-,2,4,7,-,0,-,-,
Rhode Island,-,1,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,28,85,657,706,-,1,1,6,
New Jersey,19,68,148,143,-,1,1,4,
New York (excluding New York City),-,9,8,100,-,1,-,-,
New York City,6,19,398,353,-,0,-,2,
Pennsylvania,3,8,103,110,-,0,-,-,
East North Central,7,65,377,474,-,3,9,8,
Illinois,-,42,148,170,-,2,5,2,
Indiana,1,15,56,87,-,2,1,3,
Michigan,1,8,60,98,-,1,3,1,
Ohio,4,17,75,77,-,1,-,-,
Wisconsin,1,4,38,42,-,1,-,2,
West North Central,-,25,208,223,-,6,46,55,
Iowa,-,4,24,34,-,2,4,2,
Kansas,-,10,35,26,-,4,15,20,
Minnesota,-,14,69,88,-,0,-,1,
Missouri,-,5,56,47,-,3,14,9,
Nebraska,-,3,16,12,-,2,10,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,5,9,-,1,1,14,
South Atlantic,6,66,821,907,-,1,3,4,
Delaware,-,2,6,35,-,0,-,-,
District of Columbia,-,2,8,10,-,0,-,-,
Florida,3,18,358,352,-,1,-,-,
Georgia,-,11,153,151,-,0,-,-,
Maryland,-,20,32,116,-,1,-,-,
North Carolina,2,22,82,93,-,1,2,2,
South Carolina,-,8,55,47,-,0,-,-,
Virginia,1,9,120,97,-,1,1,-,
West Virginia,-,2,7,6,-,0,-,2,
East South Central,3,11,198,176,-,1,3,12,
Alabama,-,8,46,55,-,0,-,-,
Kentucky,1,4,49,38,-,1,3,8,
Mississippi,-,4,28,26,-,0,-,-,
Tennessee,2,7,75,57,-,0,-,4,
West South Central,1,36,333,825,-,3,14,20,
Arkansas,-,4,41,52,-,2,10,18,
Louisiana,-,10,59,52,-,0,-,-,
Oklahoma,1,4,45,39,-,2,4,1,
Texas,-,24,188,682,-,0,-,1,
Mountain,2,14,226,193,-,2,8,10,
Arizona,-,8,83,93,-,1,1,-,
Colorado,-,6,38,33,-,1,3,3,
Idaho,-,2,7,1,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,47,40,-,0,-,-,
New Mexico,1,4,24,17,-,0,-,-,
Utah,1,3,24,6,-,1,3,2,
Wyoming,-,1,-,2,-,1,-,1,
Pacific,-,80,338,1,428,-,1,6,4,
Alaska,-,7,66,40,-,0,-,-,
California,-,69,4,1,131,-,1,1,2,
Hawaii,-,8,56,66,-,0,-,-,
Oregon,-,8,47,50,-,1,2,2,
Washington,-,11,165,141,-,1,3,-,
U.S. Territories,2,6,64,80,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,26,-,0,-,-,
Guam,1,4,40,42,-,0,-,-,
Puerto Rico,1,3,13,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,49,336,3,377,5,182,-,9,92,122,
