Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,43,335,1,599,2,881,1,14,11,36,
New England,2,11,86,104,-,1,1,-,
Connecticut,1,4,23,22,-,0,-,-,
Maine,-,1,3,7,-,0,-,-,
Massachusetts,1,8,54,60,-,1,1,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,3,8,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,18,85,385,397,-,2,-,-,
New Jersey,4,68,84,64,-,2,-,-,
New York (excluding New York City),-,9,17,63,-,1,-,-,
New York City,10,19,228,202,-,1,-,-,
Pennsylvania,4,8,56,68,-,0,-,-,
East North Central,-,65,170,215,1,3,2,3,
Illinois,-,40,64,91,-,1,-,-,
Indiana,-,21,26,34,1,2,1,1,
Michigan,-,11,22,46,-,1,1,-,
Ohio,-,20,36,18,-,1,-,-,
Wisconsin,-,4,22,26,-,1,-,2,
West North Central,-,25,71,115,-,8,6,17,
Iowa,-,4,1,19,-,1,-,1,
Kansas,-,7,-,20,-,3,3,7,
Minnesota,-,17,25,32,-,0,-,-,
Missouri,-,5,34,29,-,2,2,3,
Nebraska,-,2,6,6,-,1,1,-,
North Dakota,-,2,2,4,-,1,-,1,
South Dakota,-,2,3,5,-,4,-,5,
South Atlantic,10,66,387,520,-,1,1,1,
Delaware,-,19,5,26,-,0,-,-,
District of Columbia,-,2,5,5,-,0,-,-,
Florida,2,16,160,222,-,1,-,-,
Georgia,-,11,78,93,-,0,-,-,
Maryland,-,20,-,60,-,1,-,-,
North Carolina,2,22,37,37,-,1,1,1,
South Carolina,-,8,28,26,-,0,-,-,
Virginia,6,10,70,48,-,1,-,-,
West Virginia,-,2,4,3,-,1,-,-,
East South Central,6,13,125,100,-,1,-,6,
Alabama,4,8,34,31,-,0,-,-,
Kentucky,1,5,25,18,-,1,-,5,
Mississippi,1,4,20,15,-,0,-,-,
Tennessee,-,7,46,36,-,1,-,1,
West South Central,1,36,77,478,-,2,-,6,
Arkansas,-,6,14,33,-,2,-,5,
Louisiana,1,10,36,33,-,0,-,-,
Oklahoma,-,4,24,22,-,0,-,1,
Texas,-,30,3,390,-,1,-,-,
Mountain,2,14,106,112,-,2,1,3,
Arizona,-,6,32,48,-,0,-,-,
Colorado,-,5,21,22,-,1,1,1,
Idaho,-,2,5,-,-,0,-,2,
Montana,-,1,1,-,-,1,-,-,
Nevada,-,5,27,28,-,0,-,-,
New Mexico,-,2,9,12,-,0,-,-,
Utah,2,3,11,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,4,81,192,840,-,2,-,-,
Alaska,2,7,42,24,-,0,-,-,
California,-,70,4,654,-,1,-,-,
Hawaii,1,8,34,44,-,0,-,-,
Oregon,1,8,28,33,-,1,-,-,
Washington,-,10,84,85,-,1,-,-,
U.S. Territories,-,8,33,38,-,0,-,-,
American Samoa,-,1,-,2,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,9,-,0,-,-,
Guam,-,3,20,24,-,0,-,-,
Puerto Rico,-,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,43,337,1,632,2,919,1,14,11,36,
