Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,28,292,162,441,-,11,-,-,
New England,2,10,13,16,-,1,-,-,
Connecticut,-,4,4,5,-,0,-,-,
Maine,-,1,1,1,-,0,-,-,
Massachusetts,2,8,8,10,-,1,-,-,
New Hampshire,-,2,-,-,-,0,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,11,72,54,67,-,2,-,-,
New Jersey,1,55,6,6,-,2,-,-,
New York (excluding New York City),2,9,8,8,-,1,-,-,
New York City,8,19,40,45,-,1,-,-,
Pennsylvania,-,8,-,8,-,0,-,-,
East North Central,3,65,10,35,-,2,-,-,
Illinois,-,39,-,16,-,1,-,-,
Indiana,1,21,4,4,-,2,-,-,
Michigan,-,11,-,9,-,1,-,-,
Ohio,2,20,5,-,-,1,-,-,
Wisconsin,-,4,1,6,-,1,-,-,
West North Central,-,25,5,24,-,6,-,-,
Iowa,-,4,-,8,-,1,-,-,
Kansas,-,7,-,2,-,3,-,-,
Minnesota,-,17,4,4,-,0,-,-,
Missouri,-,5,1,7,-,1,-,-,
Nebraska,-,2,-,-,-,1,-,-,
North Dakota,-,2,-,1,-,1,-,-,
South Dakota,-,2,-,2,-,4,-,-,
South Atlantic,-,52,5,26,-,1,-,-,
Delaware,-,18,-,-,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,-,18,-,0,-,-,
Maryland,-,19,-,3,-,1,-,-,
North Carolina,-,22,-,-,-,1,-,-,
South Carolina,-,8,-,-,-,0,-,-,
Virginia,-,11,5,5,-,0,-,-,
West Virginia,-,2,-,-,-,1,-,-,
East South Central,7,15,21,13,-,2,-,-,
Alabama,1,8,6,3,-,0,-,-,
Kentucky,2,5,6,2,-,2,-,-,
Mississippi,-,4,-,-,-,0,-,-,
Tennessee,4,7,9,8,-,1,-,-,
West South Central,3,35,16,80,-,1,-,-,
Arkansas,-,6,2,4,-,1,-,-,
Louisiana,1,10,7,4,-,0,-,-,
Oklahoma,2,4,5,4,-,1,-,-,
Texas,-,31,2,68,-,1,-,-,
Mountain,1,14,6,28,-,2,-,-,
Arizona,-,6,-,12,-,0,-,-,
Colorado,-,5,-,5,-,1,-,-,
Idaho,-,1,1,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,1,5,4,5,-,0,-,-,
New Mexico,-,2,-,4,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,1,78,32,152,-,2,-,-,
Alaska,1,4,2,12,-,0,-,-,
California,-,68,8,104,-,2,-,-,
Hawaii,-,8,8,7,-,0,-,-,
Oregon,-,7,5,8,-,1,-,-,
Washington,-,9,9,21,-,0,-,-,
U.S. Territories,1,7,6,4,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,2,-,-,0,-,-,
Guam,-,3,3,4,-,0,-,-,
Puerto Rico,1,2,1,-,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,29,294,168,445,-,11,-,-,
