Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,26,312,378,773,-,11,1,2,
New England,2,10,27,30,-,1,-,-,
Connecticut,-,4,6,10,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,2,8,18,18,-,1,-,-,
New Hampshire,-,2,1,-,-,0,-,-,
Rhode Island,-,2,-,1,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,11,84,116,132,-,2,-,-,
New Jersey,5,67,21,17,-,2,-,-,
New York (excluding New York City),-,9,17,22,-,1,-,-,
New York City,6,19,63,71,-,1,-,-,
Pennsylvania,-,8,15,22,-,0,-,-,
East North Central,2,65,28,49,-,3,1,1,
Illinois,-,40,11,16,-,1,-,-,
Indiana,2,21,7,8,-,2,-,1,
Michigan,-,11,-,15,-,1,1,-,
Ohio,-,20,8,-,-,1,-,-,
Wisconsin,-,4,2,10,-,1,-,-,
West North Central,3,25,14,34,-,6,-,-,
Iowa,-,4,-,10,-,1,-,-,
Kansas,-,7,-,2,-,3,-,-,
Minnesota,3,17,12,4,-,0,-,-,
Missouri,-,5,1,9,-,1,-,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,3,-,4,-,-,
South Atlantic,4,53,34,49,-,1,-,-,
Delaware,-,18,-,1,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,1,25,-,0,-,-,
Maryland,-,19,-,8,-,1,-,-,
North Carolina,2,22,8,1,-,1,-,-,
South Carolina,-,8,4,5,-,0,-,-,
Virginia,2,11,19,9,-,0,-,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,1,15,40,25,-,2,-,1,
Alabama,-,8,12,11,-,0,-,-,
Kentucky,1,5,11,5,-,2,-,-,
Mississippi,-,4,6,-,-,0,-,-,
Tennessee,-,7,11,9,-,1,-,1,
West South Central,-,37,27,137,-,1,-,-,
Arkansas,-,6,10,9,-,1,-,-,
Louisiana,-,10,7,7,-,0,-,-,
Oklahoma,-,4,8,5,-,1,-,-,
Texas,-,31,2,116,-,1,-,-,
Mountain,-,14,21,47,-,2,-,-,
Arizona,-,6,7,19,-,0,-,-,
Colorado,-,5,3,10,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,5,10,-,0,-,-,
New Mexico,-,2,3,6,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,3,80,71,270,-,2,-,-,
Alaska,-,4,4,15,-,0,-,-,
California,-,69,14,193,-,2,-,-,
Hawaii,3,8,14,13,-,0,-,-,
Oregon,-,8,16,15,-,1,-,-,
Washington,-,9,23,34,-,0,-,-,
U.S. Territories,-,7,9,12,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,2,-,-,0,-,-,
Guam,-,3,6,10,-,0,-,-,
Puerto Rico,-,3,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,26,314,387,785,-,11,1,2,
