Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,47,335,3,604,5,607,-,11,104,129,
New England,1,11,166,184,-,1,2,5,
Connecticut,-,5,45,43,-,0,-,-,
Maine,-,2,9,11,-,1,1,-,
Massachusetts,1,8,102,106,-,1,1,5,
New Hampshire,-,2,4,7,-,0,-,-,
Rhode Island,-,1,5,14,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,13,85,704,782,-,1,1,6,
New Jersey,8,68,170,164,-,1,1,4,
New York (excluding New York City),-,9,6,106,-,1,-,-,
New York City,-,19,408,391,-,0,-,2,
Pennsylvania,5,10,120,121,-,0,-,-,
East North Central,2,65,407,526,-,4,11,8,
Illinois,-,42,160,193,-,2,7,2,
Indiana,-,15,57,93,-,2,1,3,
Michigan,-,8,63,106,-,1,3,1,
Ohio,2,17,88,85,-,1,-,-,
Wisconsin,-,4,39,49,-,1,-,2,
West North Central,2,25,215,240,-,6,51,56,
Iowa,-,4,24,36,-,2,4,2,
Kansas,-,10,35,29,-,4,15,21,
Minnesota,2,14,72,92,-,1,1,1,
Missouri,-,5,58,55,-,3,18,9,
Nebraska,-,3,16,12,-,2,10,7,
North Dakota,-,2,3,7,-,1,2,2,
South Dakota,-,2,7,9,-,1,1,14,
South Atlantic,11,67,884,998,-,1,3,5,
Delaware,1,2,7,35,-,0,-,-,
District of Columbia,-,2,8,12,-,0,-,-,
Florida,1,18,380,380,-,0,-,1,
Georgia,-,11,157,162,-,0,-,-,
Maryland,-,21,50,139,-,1,-,-,
North Carolina,2,22,88,105,-,1,2,2,
South Carolina,4,8,59,50,-,0,-,-,
Virginia,3,9,128,109,-,1,1,-,
West Virginia,-,2,7,6,-,0,-,2,
East South Central,5,11,215,202,-,1,4,13,
Alabama,2,8,54,69,-,0,-,-,
Kentucky,3,4,57,39,-,1,4,9,
Mississippi,-,4,28,29,-,0,-,-,
Tennessee,-,7,76,65,-,0,-,4,
West South Central,-,36,397,906,-,3,18,22,
Arkansas,-,4,44,57,-,2,14,20,
Louisiana,-,10,59,59,-,0,-,-,
Oklahoma,-,4,45,43,-,2,4,1,
Texas,-,25,249,747,-,0,-,1,
Mountain,2,14,244,211,-,2,8,10,
Arizona,1,8,92,103,-,1,1,-,
Colorado,-,6,43,35,-,1,3,3,
Idaho,-,2,7,2,-,1,1,2,
Montana,-,1,3,1,-,0,-,2,
Nevada,-,5,47,43,-,0,-,-,
New Mexico,-,4,27,18,-,0,-,-,
Utah,1,3,25,7,-,1,3,2,
Wyoming,-,1,-,2,-,1,-,1,
Pacific,11,80,372,1,558,-,1,6,4,
Alaska,1,7,72,45,-,0,-,-,
California,-,69,4,1,237,-,1,1,2,
Hawaii,5,8,67,68,-,0,-,-,
Oregon,5,8,54,51,-,1,2,2,
Washington,-,13,175,157,-,1,3,-,
U.S. Territories,1,6,67,85,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,27,-,0,-,-,
Guam,-,4,42,44,-,0,-,-,
Puerto Rico,1,3,14,10,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,48,337,3,671,5,692,-,11,104,129,
