Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,29,243,82,247,-,11,-,-,
New England,1,10,7,11,-,1,-,-,
Connecticut,-,4,-,5,-,0,-,-,
Maine,-,1,1,1,-,0,-,-,
Massachusetts,1,7,6,5,-,1,-,-,
New Hampshire,-,2,-,-,-,0,-,-,
Rhode Island,-,2,-,-,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,10,56,28,42,-,2,-,-,
New Jersey,-,44,-,-,-,2,-,-,
New York (excluding New York City),2,9,5,7,-,1,-,-,
New York City,8,19,23,30,-,1,-,-,
Pennsylvania,-,8,-,5,-,0,-,-,
East North Central,3,63,4,15,-,2,-,-,
Illinois,-,39,-,-,-,1,-,-,
Indiana,-,21,-,4,-,2,-,-,
Michigan,-,11,-,7,-,1,-,-,
Ohio,3,20,3,-,-,1,-,-,
Wisconsin,-,4,1,4,-,1,-,-,
West North Central,-,24,1,17,-,6,-,-,
Iowa,-,4,-,5,-,1,-,-,
Kansas,-,7,-,-,-,3,-,-,
Minnesota,-,17,-,-,-,0,-,-,
Missouri,-,5,1,9,-,1,-,-,
Nebraska,-,2,-,-,-,1,-,-,
North Dakota,-,2,-,1,-,1,-,-,
South Dakota,-,2,-,2,-,4,-,-,
South Atlantic,1,36,2,12,-,1,-,-,
Delaware,-,18,-,-,-,0,-,-,
District of Columbia,-,2,-,-,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,-,10,-,0,-,-,
Maryland,-,10,-,-,-,1,-,-,
North Carolina,-,18,-,-,-,1,-,-,
South Carolina,-,8,-,-,-,0,-,-,
Virginia,1,11,2,2,-,0,-,-,
West Virginia,-,2,-,-,-,1,-,-,
East South Central,7,15,11,9,-,2,-,-,
Alabama,3,8,4,2,-,0,-,-,
Kentucky,3,5,4,1,-,2,-,-,
Mississippi,-,4,-,-,-,0,-,-,
Tennessee,1,7,3,6,-,1,-,-,
West South Central,4,36,7,38,-,1,-,-,
Arkansas,-,6,-,1,-,1,-,-,
Louisiana,4,10,6,1,-,0,-,-,
Oklahoma,-,3,-,-,-,1,-,-,
Texas,-,31,1,36,-,1,-,-,
Mountain,-,14,4,16,-,2,-,-,
Arizona,-,6,-,8,-,0,-,-,
Colorado,-,5,-,4,-,1,-,-,
Idaho,-,1,1,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,2,3,-,0,-,-,
New Mexico,-,2,-,1,-,0,-,-,
Utah,-,3,1,-,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,3,77,18,87,-,2,-,-,
Alaska,1,4,1,8,-,0,-,-,
California,-,67,3,57,-,2,-,-,
Hawaii,2,8,6,6,-,0,-,-,
Oregon,-,7,1,4,-,1,-,-,
Washington,-,9,7,12,-,0,-,-,
U.S. Territories,-,7,3,3,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,5,2,-,-,0,-,-,
Guam,-,3,1,3,-,0,-,-,
Puerto Rico,-,2,-,-,-,0,-,-,
U.S. Virgin Islands,-,0,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,29,245,85,250,-,11,-,-,
