Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,45,321,784,1,626,-,14,5,4,
New England,1,11,51,62,-,1,-,-,
Connecticut,-,4,8,14,-,0,-,-,
Maine,-,1,2,3,-,0,-,-,
Massachusetts,1,8,36,39,-,1,-,-,
New Hampshire,-,2,3,3,-,0,-,-,
Rhode Island,-,2,2,3,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,24,80,215,222,-,2,-,-,
New Jersey,5,68,45,36,-,2,-,-,
New York (excluding New York City),-,8,-,26,-,1,-,-,
New York City,17,19,134,120,-,1,-,-,
Pennsylvania,2,8,36,40,-,0,-,-,
East North Central,-,65,73,137,-,3,1,1,
Illinois,-,40,20,63,-,1,-,-,
Indiana,-,21,17,17,-,2,-,1,
Michigan,-,11,9,31,-,1,1,-,
Ohio,-,20,17,8,-,1,-,-,
Wisconsin,-,4,10,18,-,1,-,-,
West North Central,1,25,39,64,-,8,2,-,
Iowa,-,4,-,15,-,1,-,-,
Kansas,-,7,-,8,-,3,-,-,
Minnesota,-,17,20,13,-,0,-,-,
Missouri,1,5,18,16,-,2,2,-,
Nebraska,-,2,-,5,-,1,-,-,
North Dakota,-,2,-,3,-,1,-,-,
South Dakota,-,2,1,4,-,4,-,-,
South Atlantic,4,57,98,208,-,1,2,-,
Delaware,-,19,3,2,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,-,8,-,57,-,1,-,-,
Georgia,-,9,22,58,-,0,-,-,
Maryland,-,19,-,37,-,1,-,-,
North Carolina,3,22,23,12,-,1,1,-,
South Carolina,-,8,11,16,-,0,-,-,
Virginia,1,11,34,23,-,1,1,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,-,15,76,49,-,2,-,1,
Alabama,-,8,23,16,-,0,-,-,
Kentucky,-,5,18,12,-,2,-,-,
Mississippi,-,4,10,4,-,0,-,-,
Tennessee,-,7,25,17,-,1,-,1,
West South Central,9,36,55,296,-,2,-,2,
Arkansas,-,6,13,19,-,2,-,1,
Louisiana,8,10,22,21,-,0,-,-,
Oklahoma,1,5,18,9,-,0,-,1,
Texas,-,30,2,247,-,1,-,-,
Mountain,3,14,49,81,-,2,-,-,
Arizona,-,6,13,33,-,0,-,-,
Colorado,1,5,10,16,-,1,-,-,
Idaho,-,2,3,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,1,5,15,20,-,0,-,-,
New Mexico,1,2,5,10,-,0,-,-,
Utah,-,3,3,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,3,82,128,507,-,2,-,-,
Alaska,3,7,21,18,-,0,-,-,
California,-,71,15,385,-,2,-,-,
Hawaii,-,8,20,28,-,0,-,-,
Oregon,-,8,23,20,-,1,-,-,
Washington,-,10,49,56,-,0,-,-,
U.S. Territories,1,8,19,23,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,5,4,-,0,-,-,
Guam,-,3,10,16,-,0,-,-,
Puerto Rico,1,3,4,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,46,323,803,1,649,-,14,5,4,
