Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,56,334,2,252,3,742,-,13,32,72,
New England,-,11,105,137,-,1,2,-,
Connecticut,-,4,25,28,-,0,-,-,
Maine,-,1,3,8,-,1,1,-,
Massachusetts,-,8,71,83,-,1,1,-,
New Hampshire,-,2,3,5,-,0,-,-,
Rhode Island,-,2,3,10,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,28,85,494,509,-,2,-,2,
New Jersey,9,68,108,83,-,2,-,1,
New York (excluding New York City),-,9,17,75,-,1,-,-,
New York City,16,19,292,270,-,1,-,1,
Pennsylvania,3,8,77,81,-,0,-,-,
East North Central,9,65,255,329,-,3,6,7,
Illinois,-,40,91,123,-,1,4,1,
Indiana,4,15,48,70,-,2,1,3,
Michigan,-,10,31,76,-,1,1,1,
Ohio,5,20,55,27,-,1,-,-,
Wisconsin,-,4,30,33,-,1,-,2,
West North Central,-,25,151,145,-,5,17,37,
Iowa,-,4,24,22,-,2,2,1,
Kansas,-,5,13,22,-,3,4,14,
Minnesota,-,17,50,44,-,0,-,-,
Missouri,-,5,46,36,-,1,4,7,
Nebraska,-,3,12,8,-,1,5,2,
North Dakota,-,2,3,6,-,1,2,1,
South Dakota,-,2,3,7,-,2,-,12,
South Atlantic,10,66,576,685,-,1,2,2,
Delaware,-,2,7,29,-,0,-,-,
District of Columbia,-,2,5,7,-,0,-,-,
Florida,-,18,268,267,-,1,-,-,
Georgia,-,11,105,117,-,0,-,-,
Maryland,-,20,-,84,-,1,-,-,
North Carolina,5,22,57,66,-,1,2,2,
South Carolina,-,8,38,35,-,0,-,-,
Virginia,5,9,91,75,-,1,-,-,
West Virginia,-,2,5,5,-,1,-,-,
East South Central,4,13,150,127,-,1,-,8,
Alabama,1,8,38,40,-,0,-,-,
Kentucky,1,4,34,27,-,1,-,7,
Mississippi,-,4,24,17,-,0,-,-,
Tennessee,2,7,54,43,-,1,-,1,
West South Central,2,36,115,604,-,2,3,10,
Arkansas,-,6,34,36,-,2,1,9,
Louisiana,1,10,45,39,-,0,-,-,
Oklahoma,1,4,33,33,-,1,2,1,
Texas,-,25,3,496,-,1,-,-,
Mountain,2,14,157,145,-,2,2,6,
Arizona,-,6,54,67,-,0,-,-,
Colorado,-,5,27,26,-,1,2,2,
Idaho,-,2,5,-,-,0,-,2,
Montana,-,1,1,1,-,1,-,1,
Nevada,1,5,35,33,-,0,-,-,
New Mexico,1,5,18,15,-,0,-,-,
Utah,-,3,17,2,-,1,-,1,
Wyoming,-,1,-,1,-,1,-,-,
Pacific,1,80,249,1,061,-,2,-,-,
Alaska,1,7,55,27,-,0,-,-,
California,-,69,3,844,-,1,-,-,
Hawaii,-,8,44,51,-,0,-,-,
Oregon,-,8,33,41,-,1,-,-,
Washington,-,10,114,98,-,1,-,-,
U.S. Territories,-,8,39,56,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,7,14,-,0,-,-,
Guam,-,3,23,32,-,0,-,-,
Puerto Rico,-,3,9,7,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,56,336,2,291,3,798,-,13,32,72,
