Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,42,317,555,1,138,-,12,1,3,
New England,1,10,41,41,-,1,-,-,
Connecticut,-,4,8,10,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,1,8,29,25,-,1,-,-,
New Hampshire,-,2,2,2,-,0,-,-,
Rhode Island,-,2,-,3,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,17,82,160,179,-,2,-,-,
New Jersey,2,68,30,30,-,2,-,-,
New York (excluding New York City),-,9,-,24,-,1,-,-,
New York City,11,19,103,92,-,1,-,-,
Pennsylvania,4,8,27,33,-,0,-,-,
East North Central,-,66,53,83,-,3,1,1,
Illinois,-,40,16,31,-,1,-,-,
Indiana,-,21,10,14,-,2,-,1,
Michigan,-,11,6,22,-,1,1,-,
Ohio,-,20,11,1,-,1,-,-,
Wisconsin,-,4,10,15,-,1,-,-,
West North Central,1,24,15,46,-,6,-,-,
Iowa,-,4,-,12,-,1,-,-,
Kansas,-,7,-,5,-,3,-,-,
Minnesota,1,17,13,7,-,0,-,-,
Missouri,-,5,1,13,-,1,-,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,3,-,4,-,-,
South Atlantic,8,52,64,95,-,1,-,-,
Delaware,1,19,2,1,-,0,-,-,
District of Columbia,-,2,2,1,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,8,37,-,0,-,-,
Maryland,-,19,-,24,-,1,-,-,
North Carolina,2,22,17,6,-,1,-,-,
South Carolina,-,8,6,12,-,0,-,-,
Virginia,5,11,27,14,-,0,-,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,6,15,56,37,-,2,-,1,
Alabama,3,8,15,16,-,0,-,-,
Kentucky,-,5,14,8,-,2,-,-,
Mississippi,-,4,6,1,-,0,-,-,
Tennessee,3,7,21,12,-,1,-,1,
West South Central,5,37,40,219,-,2,-,1,
Arkansas,-,6,10,14,-,2,-,1,
Louisiana,-,10,12,16,-,0,-,-,
Oklahoma,5,5,16,6,-,1,-,-,
Texas,-,30,2,183,-,1,-,-,
Mountain,-,14,30,62,-,2,-,-,
Arizona,-,6,9,26,-,0,-,-,
Colorado,-,5,3,15,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,11,13,-,0,-,-,
New Mexico,-,2,4,6,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,4,82,96,376,-,2,-,-,
Alaska,2,4,6,18,-,0,-,-,
California,1,71,19,282,-,2,-,-,
Hawaii,-,8,16,19,-,0,-,-,
Oregon,1,8,21,14,-,1,-,-,
Washington,-,9,34,43,-,0,-,-,
U.S. Territories,-,8,16,15,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,5,2,-,0,-,-,
Guam,-,3,10,11,-,0,-,-,
Puerto Rico,-,3,1,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,42,319,571,1,153,-,12,1,3,
