Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,44,335,3,817,5,861,-,13,110,136,
New England,-,11,174,188,-,1,2,5,
Connecticut,-,5,49,45,-,0,-,-,
Maine,-,2,9,11,-,1,1,-,
Massachusetts,-,8,106,106,-,1,1,5,
New Hampshire,-,2,4,8,-,0,-,-,
Rhode Island,-,1,5,15,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,21,85,757,809,-,1,1,6,
New Jersey,4,68,180,170,-,1,1,4,
New York (excluding New York City),-,9,5,111,-,1,-,-,
New York City,10,19,441,403,-,0,-,2,
Pennsylvania,7,10,131,125,-,0,-,-,
East North Central,5,65,439,548,-,4,11,10,
Illinois,-,42,173,193,-,2,7,3,
Indiana,5,15,65,101,-,2,1,3,
Michigan,-,8,72,107,-,1,3,1,
Ohio,-,17,88,92,-,1,-,1,
Wisconsin,-,4,41,55,-,1,-,2,
West North Central,1,25,227,246,-,7,55,57,
Iowa,-,4,24,36,-,2,4,2,
Kansas,-,9,35,29,-,4,18,21,
Minnesota,1,14,80,92,-,1,1,1,
Missouri,-,4,61,57,-,3,19,9,
Nebraska,-,3,16,15,-,2,10,8,
North Dakota,-,2,3,8,-,1,2,2,
South Dakota,-,2,8,9,-,1,1,14,
South Atlantic,9,67,921,1,044,-,1,3,6,
Delaware,-,2,7,35,-,0,-,-,
District of Columbia,-,2,9,12,-,0,-,-,
Florida,3,18,398,401,-,0,-,1,
Georgia,-,11,156,169,-,0,-,-,
Maryland,-,21,50,146,-,1,-,1,
North Carolina,-,22,88,108,-,1,2,2,
South Carolina,-,8,63,54,-,0,-,-,
Virginia,6,8,142,113,-,1,1,-,
West Virginia,-,2,8,6,-,0,-,2,
East South Central,4,11,222,212,-,1,4,14,
Alabama,-,5,54,70,-,0,-,-,
Kentucky,1,4,59,42,-,1,4,10,
Mississippi,-,4,28,31,-,0,-,-,
Tennessee,3,7,81,69,-,0,-,4,
West South Central,-,35,420,958,-,3,19,22,
Arkansas,-,4,46,60,-,2,15,20,
Louisiana,-,10,59,61,-,0,-,-,
Oklahoma,-,4,45,48,-,2,4,1,
Texas,-,25,270,789,-,0,-,1,
Mountain,-,14,254,222,-,1,8,12,
Arizona,-,8,100,106,-,1,1,-,
Colorado,-,6,44,37,-,1,3,3,
Idaho,-,2,7,3,-,1,1,2,
Montana,-,1,3,2,-,0,-,2,
Nevada,-,5,47,45,-,0,-,-,
New Mexico,-,4,27,18,-,0,-,-,
Utah,-,3,26,9,-,1,3,3,
Wyoming,-,1,-,2,-,0,-,2,
Pacific,4,80,403,1,634,-,1,7,4,
Alaska,2,7,75,48,-,0,-,-,
California,-,69,4,1,296,-,1,2,2,
Hawaii,1,8,70,74,-,0,-,-,
Oregon,1,8,56,53,-,1,2,2,
Washington,-,13,198,163,-,1,3,-,
U.S. Territories,3,6,71,88,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,2,11,28,-,0,-,-,
Guam,-,4,43,46,-,0,-,-,
Puerto Rico,3,3,17,10,-,0,-,-,
U.S. Virgin Islands,-,1,-,1,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,47,337,3,888,5,949,-,13,110,136,
