Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,71,327,1,075,2,130,-,14,8,19,
New England,1,11,69,81,-,1,-,-,
Connecticut,-,4,18,16,-,0,-,-,
Maine,1,1,3,5,-,0,-,-,
Massachusetts,-,8,43,51,-,1,-,-,
New Hampshire,-,2,3,4,-,0,-,-,
Rhode Island,-,2,2,3,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,21,79,274,267,-,2,-,-,
New Jersey,6,68,60,50,-,2,-,-,
New York (excluding New York City),-,6,-,21,-,1,-,-,
New York City,14,19,172,146,-,1,-,-,
Pennsylvania,1,8,42,50,-,0,-,-,
East North Central,17,65,122,166,-,3,1,2,
Illinois,-,40,35,77,-,1,-,-,
Indiana,9,21,26,21,-,2,-,1,
Michigan,-,11,18,38,-,1,1,-,
Ohio,8,20,27,8,-,1,-,-,
Wisconsin,-,4,16,22,-,1,-,1,
West North Central,-,25,50,90,-,8,4,6,
Iowa,-,4,-,17,-,1,-,1,
Kansas,-,7,-,13,-,3,1,1,
Minnesota,-,17,25,25,-,0,-,-,
Missouri,-,5,19,22,-,2,3,2,
Nebraska,-,2,1,5,-,1,-,-,
North Dakota,-,2,2,3,-,1,-,-,
South Dakota,-,2,3,5,-,4,-,2,
South Atlantic,9,64,175,366,-,1,2,1,
Delaware,1,19,5,4,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,-,16,1,176,-,1,-,-,
Georgia,-,10,66,67,-,0,-,-,
Maryland,-,19,-,45,-,1,-,-,
North Carolina,1,22,27,20,-,1,1,1,
South Carolina,-,8,19,20,-,0,-,-,
Virginia,7,11,50,30,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,9,13,94,71,-,1,-,4,
Alabama,1,8,27,19,-,0,-,-,
Kentucky,1,5,19,16,-,1,-,3,
Mississippi,-,4,10,9,-,0,-,-,
Tennessee,7,5,38,27,-,1,-,1,
West South Central,6,36,68,362,-,2,-,4,
Arkansas,-,6,14,22,-,2,-,3,
Louisiana,5,10,30,26,-,0,-,-,
Oklahoma,1,4,22,15,-,0,-,1,
Texas,-,30,2,299,-,1,-,-,
Mountain,2,14,77,90,-,2,-,2,
Arizona,-,6,25,36,-,0,-,-,
Colorado,-,5,14,20,-,1,-,1,
Idaho,-,2,3,-,-,1,-,1,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,22,22,-,0,-,-,
New Mexico,1,2,6,10,-,0,-,-,
Utah,1,3,7,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,6,82,146,637,-,2,1,-,
Alaska,4,7,31,22,-,0,-,-,
California,-,71,11,491,-,2,1,-,
Hawaii,2,8,28,34,-,0,-,-,
Oregon,-,8,23,23,-,1,-,-,
Washington,-,10,53,67,-,0,-,-,
U.S. Territories,2,8,30,26,-,0,-,-,
American Samoa,-,2,2,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,5,-,0,-,-,
Guam,1,3,15,18,-,0,-,-,
Puerto Rico,1,3,7,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,73,329,1,105,2,156,-,14,8,19,
