Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,41,334,2,420,4,043,1,7,56,92,
New England,-,11,119,140,-,1,2,2,
Connecticut,-,4,35,29,-,0,-,-,
Maine,-,1,3,9,-,1,1,-,
Massachusetts,-,8,74,84,-,1,1,2,
New Hampshire,-,2,3,5,-,0,-,-,
Rhode Island,-,2,4,10,-,0,-,-,
Vermont,-,0,-,3,-,0,-,-,
Middle Atlantic,13,85,525,551,-,1,-,4,
New Jersey,4,68,114,95,-,1,-,3,
New York (excluding New York City),-,9,17,78,-,1,-,-,
New York City,8,19,314,290,-,1,-,1,
Pennsylvania,1,8,80,88,-,0,-,-,
East North Central,4,65,285,363,-,3,6,7,
Illinois,-,40,96,123,-,1,4,1,
Indiana,2,15,50,76,-,2,1,3,
Michigan,-,8,46,79,-,1,1,1,
Ohio,1,17,60,49,-,1,-,-,
Wisconsin,1,4,33,36,-,1,-,2,
West North Central,3,25,160,157,-,5,34,42,
Iowa,-,4,24,26,-,2,2,2,
Kansas,-,5,13,23,-,4,13,14,
Minnesota,2,17,54,47,-,0,-,-,
Missouri,-,5,48,39,-,2,8,7,
Nebraska,1,3,15,9,-,2,8,3,
North Dakota,-,2,3,6,-,1,2,2,
South Dakota,-,2,3,7,-,1,1,14,
South Atlantic,6,66,610,736,-,1,3,2,
Delaware,-,2,7,31,-,0,-,-,
District of Columbia,-,2,6,7,-,0,-,-,
Florida,1,18,287,287,-,1,-,-,
Georgia,-,11,105,124,-,0,-,-,
Maryland,-,20,-,90,-,1,-,-,
North Carolina,2,22,61,72,-,1,2,2,
South Carolina,-,8,39,40,-,0,-,-,
Virginia,3,9,99,80,-,1,1,-,
West Virginia,-,2,6,5,-,1,-,-,
East South Central,8,13,163,132,-,1,-,9,
Alabama,2,8,40,40,-,0,-,-,
Kentucky,1,4,38,28,-,1,-,7,
Mississippi,-,4,24,19,-,0,-,-,
Tennessee,5,7,61,45,-,1,-,2,
West South Central,2,36,119,656,-,3,6,15,
Arkansas,-,6,34,38,-,2,2,14,
Louisiana,1,10,46,42,-,0,-,-,
Oklahoma,1,4,35,35,-,2,4,1,
Texas,-,25,4,541,-,1,-,-,
Mountain,1,14,165,154,-,2,3,9,
Arizona,-,6,56,73,-,0,-,-,
Colorado,-,5,29,28,-,1,2,2,
Idaho,-,2,5,-,-,1,1,2,
Montana,-,1,1,1,-,0,-,2,
Nevada,1,5,38,34,-,0,-,-,
New Mexico,-,5,18,15,-,0,-,-,
Utah,-,3,18,2,-,1,-,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,4,80,274,1,154,1,2,2,2,
Alaska,3,7,60,29,-,0,-,-,
California,-,69,3,918,-,1,-,1,
Hawaii,1,8,46,54,-,0,-,-,
Oregon,-,8,37,44,-,1,-,1,
Washington,-,10,128,109,1,1,2,-,
U.S. Territories,-,8,48,60,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,7,14,-,0,-,-,
Guam,-,4,31,35,-,0,-,-,
Puerto Rico,-,3,10,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,41,336,2,468,4,103,1,7,56,92,
