Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,41,334,2,505,4,216,-,8,60,98,
New England,1,11,125,146,-,1,2,2,
Connecticut,1,5,39,30,-,0,-,-,
Maine,-,1,3,9,-,1,1,-,
Massachusetts,-,8,75,86,-,1,1,2,
New Hampshire,-,2,3,6,-,0,-,-,
Rhode Island,-,2,4,12,-,0,-,-,
Vermont,-,1,1,3,-,0,-,-,
Middle Atlantic,19,85,550,568,-,1,-,4,
New Jersey,6,68,120,100,-,1,-,3,
New York (excluding New York City),-,9,17,81,-,1,-,-,
New York City,12,19,333,297,-,1,-,1,
Pennsylvania,1,8,80,90,-,0,-,-,
East North Central,6,65,296,367,-,3,6,7,
Illinois,-,40,99,123,-,1,4,1,
Indiana,1,15,51,76,-,2,1,3,
Michigan,3,8,51,81,-,1,1,1,
Ohio,2,17,62,50,-,1,-,-,
Wisconsin,-,4,33,37,-,1,-,2,
West North Central,3,25,164,181,-,5,37,44,
Iowa,-,4,24,28,-,2,3,2,
Kansas,-,5,13,26,-,4,14,16,
Minnesota,3,17,57,64,-,0,-,-,
Missouri,-,5,49,41,-,2,9,7,
Nebraska,-,3,15,9,-,2,8,3,
North Dakota,-,2,3,6,-,1,2,2,
South Dakota,-,2,3,7,-,1,1,14,
South Atlantic,3,66,620,772,-,1,3,2,
Delaware,-,2,6,33,-,0,-,-,
District of Columbia,-,2,6,8,-,0,-,-,
Florida,2,18,297,303,-,1,-,-,
Georgia,-,11,105,128,-,0,-,-,
Maryland,-,20,-,95,-,1,-,-,
North Carolina,-,22,61,75,-,1,2,2,
South Carolina,-,8,39,40,-,0,-,-,
Virginia,1,9,100,85,-,1,1,-,
West Virginia,-,2,6,5,-,1,-,-,
East South Central,2,13,165,138,-,1,-,10,
Alabama,-,8,40,41,-,0,-,-,
Kentucky,2,4,40,29,-,1,-,7,
Mississippi,-,4,24,20,-,0,-,-,
Tennessee,-,7,61,48,-,1,-,3,
West South Central,5,36,124,683,-,3,7,17,
Arkansas,-,6,34,40,-,2,3,16,
Louisiana,5,10,51,45,-,0,-,-,
Oklahoma,-,4,35,35,-,2,4,1,
Texas,-,25,4,563,-,1,-,-,
Mountain,-,14,174,161,-,2,3,9,
Arizona,-,7,63,75,-,0,-,-,
Colorado,-,5,29,28,-,1,2,2,
Idaho,-,2,5,1,-,1,1,2,
Montana,-,1,1,1,-,0,-,2,
Nevada,-,5,38,36,-,0,-,-,
New Mexico,-,5,20,16,-,0,-,-,
Utah,-,3,18,3,-,1,-,2,
Wyoming,-,1,-,1,-,1,-,1,
Pacific,2,80,287,1,200,-,1,2,3,
Alaska,1,7,60,30,-,0,-,-,
California,-,69,3,955,-,1,-,2,
Hawaii,-,8,47,56,-,0,-,-,
Oregon,-,8,39,45,-,0,-,1,
Washington,1,10,138,114,-,1,2,-,
U.S. Territories,1,8,49,65,-,0,-,-,
American Samoa,-,1,-,3,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,7,16,-,0,-,-,
Guam,1,4,32,38,-,0,-,-,
Puerto Rico,-,3,10,8,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,42,336,2,554,4,281,-,8,60,98,
