Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,48,317,635,1,279,-,12,2,3,
New England,2,10,45,46,-,1,-,-,
Connecticut,-,4,8,10,-,0,-,-,
Maine,-,1,2,1,-,0,-,-,
Massachusetts,1,8,32,30,-,1,-,-,
New Hampshire,1,2,3,2,-,0,-,-,
Rhode Island,-,2,-,3,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,18,81,178,195,-,2,-,-,
New Jersey,6,68,36,31,-,2,-,-,
New York (excluding New York City),-,9,-,23,-,1,-,-,
New York City,7,19,110,103,-,1,-,-,
Pennsylvania,5,8,32,38,-,0,-,-,
East North Central,7,66,64,90,-,3,1,1,
Illinois,-,40,17,31,-,1,-,-,
Indiana,7,21,17,14,-,2,-,1,
Michigan,-,11,6,24,-,1,1,-,
Ohio,-,20,14,4,-,1,-,-,
Wisconsin,-,4,10,17,-,1,-,-,
West North Central,4,24,22,53,-,6,-,-,
Iowa,-,4,-,15,-,1,-,-,
Kansas,-,7,-,5,-,3,-,-,
Minnesota,4,17,20,10,-,0,-,-,
Missouri,-,5,1,14,-,1,-,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,3,-,4,-,-,
South Atlantic,4,52,74,113,-,1,1,-,
Delaware,1,19,3,2,-,0,-,-,
District of Columbia,-,2,3,1,-,0,-,-,
Florida,-,0,-,-,-,1,-,-,
Georgia,-,11,12,48,-,0,-,-,
Maryland,-,19,-,29,-,1,-,-,
North Carolina,-,22,17,6,-,1,1,-,
South Carolina,-,8,6,12,-,0,-,-,
Virginia,3,11,31,15,-,0,-,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,5,15,64,41,-,2,-,1,
Alabama,3,8,18,16,-,0,-,-,
Kentucky,-,5,14,9,-,2,-,-,
Mississippi,-,4,9,2,-,0,-,-,
Tennessee,2,7,23,14,-,1,-,1,
West South Central,1,36,44,244,-,2,-,1,
Arkansas,-,6,13,14,-,2,-,1,
Louisiana,-,10,12,19,-,0,-,-,
Oklahoma,1,5,17,7,-,1,-,-,
Texas,-,30,2,204,-,1,-,-,
Mountain,-,14,37,70,-,2,-,-,
Arizona,-,6,9,30,-,0,-,-,
Colorado,-,5,9,15,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,12,17,-,0,-,-,
New Mexico,-,2,4,6,-,0,-,-,
Utah,-,3,1,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,7,83,107,427,-,2,-,-,
Alaska,7,4,15,18,-,0,-,-,
California,-,71,17,322,-,2,-,-,
Hawaii,-,8,16,24,-,0,-,-,
Oregon,-,8,21,17,-,1,-,-,
Washington,-,9,38,46,-,0,-,-,
U.S. Territories,2,8,18,18,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,5,3,-,0,-,-,
Guam,-,3,10,13,-,0,-,-,
Puerto Rico,2,3,3,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,50,319,653,1,297,-,12,2,3,
