Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,41,321,706,1,483,-,14,4,4,
New England,2,10,47,56,-,1,-,-,
Connecticut,-,4,8,12,-,0,-,-,
Maine,-,1,2,2,-,0,-,-,
Massachusetts,2,8,34,36,-,1,-,-,
New Hampshire,-,2,3,3,-,0,-,-,
Rhode Island,-,2,-,3,-,0,-,-,
Vermont,-,2,-,-,-,0,-,-,
Middle Atlantic,13,81,191,209,-,2,-,-,
New Jersey,4,68,40,33,-,2,-,-,
New York (excluding New York City),-,9,-,24,-,1,-,-,
New York City,7,19,117,113,-,1,-,-,
Pennsylvania,2,8,34,39,-,0,-,-,
East North Central,5,65,72,130,-,3,1,1,
Illinois,-,40,20,63,-,1,-,-,
Indiana,-,21,17,15,-,2,-,1,
Michigan,2,11,8,27,-,1,1,-,
Ohio,3,20,17,8,-,1,-,-,
Wisconsin,-,4,10,17,-,1,-,-,
West North Central,1,24,39,61,-,8,1,-,
Iowa,-,4,-,15,-,1,-,-,
Kansas,-,7,-,8,-,3,-,-,
Minnesota,-,17,20,13,-,0,-,-,
Missouri,1,5,18,15,-,2,1,-,
Nebraska,-,2,-,4,-,1,-,-,
North Dakota,-,2,-,2,-,1,-,-,
South Dakota,-,2,1,4,-,4,-,-,
South Atlantic,3,57,81,175,-,1,2,-,
Delaware,-,19,3,2,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,-,6,-,40,-,1,-,-,
Georgia,-,9,16,53,-,0,-,-,
Maryland,-,19,-,35,-,1,-,-,
North Carolina,1,22,18,7,-,1,1,-,
South Carolina,-,8,6,15,-,0,-,-,
Virginia,2,11,33,20,-,1,1,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,10,15,74,45,-,2,-,1,
Alabama,5,8,23,16,-,0,-,-,
Kentucky,3,5,17,11,-,2,-,-,
Mississippi,-,4,9,3,-,0,-,-,
Tennessee,2,7,25,15,-,1,-,1,
West South Central,1,36,46,271,-,2,-,2,
Arkansas,-,6,13,17,-,2,-,1,
Louisiana,1,10,14,19,-,0,-,-,
Oklahoma,-,5,17,8,-,1,-,1,
Texas,-,30,2,227,-,1,-,-,
Mountain,2,14,44,75,-,2,-,-,
Arizona,-,6,13,31,-,0,-,-,
Colorado,-,5,9,16,-,1,-,-,
Idaho,-,1,2,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,13,18,-,0,-,-,
New Mexico,-,2,4,8,-,0,-,-,
Utah,2,3,3,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,4,83,112,461,-,2,-,-,
Alaska,2,7,17,18,-,0,-,-,
California,-,71,15,349,-,2,-,-,
Hawaii,2,8,20,25,-,0,-,-,
Oregon,-,8,21,20,-,1,-,-,
Washington,-,9,39,49,-,0,-,-,
U.S. Territories,-,8,18,21,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,5,3,-,0,-,-,
Guam,-,3,10,16,-,0,-,-,
Puerto Rico,-,3,3,2,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,41,323,724,1,504,-,14,4,4,
