Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,48,328,953,1,966,1,14,7,12,
New England,2,11,67,76,-,1,-,-,
Connecticut,-,4,18,16,-,0,-,-,
Maine,-,1,2,4,-,0,-,-,
Massachusetts,2,8,42,48,-,1,-,-,
New Hampshire,-,2,3,3,-,0,-,-,
Rhode Island,-,2,2,3,-,0,-,-,
Vermont,-,0,-,2,-,0,-,-,
Middle Atlantic,20,80,250,250,-,2,-,-,
New Jersey,4,69,54,42,-,2,-,-,
New York (excluding New York City),-,6,-,21,-,1,-,-,
New York City,13,19,156,137,-,1,-,-,
Pennsylvania,3,8,40,50,-,0,-,-,
East North Central,3,65,102,147,-,3,1,2,
Illinois,-,40,32,63,-,1,-,-,
Indiana,-,21,17,20,-,2,-,1,
Michigan,-,11,18,36,-,1,1,-,
Ohio,2,20,19,8,-,1,-,-,
Wisconsin,1,4,16,20,-,1,-,1,
West North Central,-,25,49,74,1,8,4,4,
Iowa,-,4,-,16,-,1,-,1,
Kansas,-,7,-,9,-,3,1,1,
Minnesota,-,17,24,14,-,0,-,-,
Missouri,-,5,19,22,1,2,3,1,
Nebraska,-,2,1,5,-,1,-,-,
North Dakota,-,2,2,3,-,1,-,-,
South Dakota,-,2,3,5,-,4,-,1,
South Atlantic,7,64,133,337,-,1,2,-,
Delaware,-,19,4,4,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,-,17,1,162,-,1,-,-,
Georgia,-,10,34,63,-,0,-,-,
Maryland,-,19,-,43,-,1,-,-,
North Carolina,1,22,26,18,-,1,1,-,
South Carolina,-,8,18,16,-,0,-,-,
Virginia,6,11,43,27,-,1,1,-,
West Virginia,-,2,4,1,-,1,-,-,
East South Central,5,13,85,69,-,2,-,3,
Alabama,2,8,26,17,-,0,-,-,
Kentucky,-,5,18,16,-,2,-,2,
Mississippi,-,4,10,9,-,0,-,-,
Tennessee,3,5,31,27,-,1,-,1,
West South Central,2,36,62,336,-,2,-,3,
Arkansas,-,6,14,21,-,2,-,2,
Louisiana,2,10,25,22,-,0,-,-,
Oklahoma,-,4,21,14,-,0,-,1,
Texas,-,30,2,279,-,1,-,-,
Mountain,3,14,67,86,-,2,-,-,
Arizona,-,6,20,35,-,0,-,-,
Colorado,-,5,13,18,-,1,-,-,
Idaho,-,2,3,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,20,21,-,0,-,-,
New Mexico,-,2,5,10,-,0,-,-,
Utah,3,3,6,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,6,82,138,591,-,2,-,-,
Alaska,2,7,26,21,-,0,-,-,
California,-,71,11,457,-,2,-,-,
Hawaii,3,8,25,31,-,0,-,-,
Oregon,1,8,23,22,-,1,-,-,
Washington,-,10,53,60,-,0,-,-,
U.S. Territories,2,8,22,25,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,4,-,0,-,-,
Guam,-,3,10,18,-,0,-,-,
Puerto Rico,2,3,6,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,50,330,975,1,991,1,14,7,12,
