Reporting Area, Tuberculosis: Current week, Tuberculosis: Previous 52 weeks Max , Tuberculosis: Cum YTD 2022 , Tuberculosis: Cum YTD 2021 , Tularemia: Current week, Tularemia: Previous 52 weeks Max , Tularemia: Cum YTD 2022 , Tularemia: Cum YTD 2021 , 
U.S. Residents: excluding U.S. Territories,39,323,868,1,780,-,14,5,6,
New England,1,11,65,66,-,1,-,-,
Connecticut,-,4,18,14,-,0,-,-,
Maine,-,1,2,3,-,0,-,-,
Massachusetts,1,8,40,41,-,1,-,-,
New Hampshire,-,2,3,3,-,0,-,-,
Rhode Island,-,2,2,3,-,0,-,-,
Vermont,-,2,-,2,-,0,-,-,
Middle Atlantic,17,80,231,244,-,2,-,-,
New Jersey,5,68,50,39,-,2,-,-,
New York (excluding New York City),-,8,-,25,-,1,-,-,
New York City,11,19,144,132,-,1,-,-,
Pennsylvania,1,8,37,48,-,0,-,-,
East North Central,-,65,84,143,-,3,1,1,
Illinois,-,40,30,63,-,1,-,-,
Indiana,-,21,17,18,-,2,-,1,
Michigan,-,11,10,34,-,1,1,-,
Ohio,-,20,17,8,-,1,-,-,
Wisconsin,-,4,10,20,-,1,-,-,
West North Central,4,25,46,70,-,8,2,1,
Iowa,-,4,-,16,-,1,-,1,
Kansas,-,7,-,9,-,3,-,-,
Minnesota,4,17,24,14,-,0,-,-,
Missouri,-,5,19,18,-,2,2,-,
Nebraska,-,2,-,5,-,1,-,-,
North Dakota,-,2,2,3,-,1,-,-,
South Dakota,-,2,1,5,-,4,-,-,
South Atlantic,7,59,111,237,-,1,2,-,
Delaware,1,19,4,3,-,0,-,-,
District of Columbia,-,2,3,3,-,0,-,-,
Florida,-,10,-,80,-,1,-,-,
Georgia,-,9,22,60,-,0,-,-,
Maryland,-,19,-,37,-,1,-,-,
North Carolina,-,22,25,13,-,1,1,-,
South Carolina,3,8,18,16,-,0,-,-,
Virginia,3,11,37,25,-,1,1,-,
West Virginia,-,2,2,-,-,1,-,-,
East South Central,4,15,80,64,-,2,-,2,
Alabama,1,8,24,17,-,0,-,-,
Kentucky,-,5,18,15,-,2,-,1,
Mississippi,-,4,10,8,-,0,-,-,
Tennessee,3,7,28,24,-,1,-,1,
West South Central,1,36,58,326,-,2,-,2,
Arkansas,-,6,13,21,-,2,-,1,
Louisiana,-,10,22,22,-,0,-,-,
Oklahoma,1,5,21,14,-,0,-,1,
Texas,-,30,2,269,-,1,-,-,
Mountain,1,14,61,84,-,2,-,-,
Arizona,-,6,20,34,-,0,-,-,
Colorado,1,5,11,18,-,1,-,-,
Idaho,-,2,3,-,-,1,-,-,
Montana,-,1,-,-,-,1,-,-,
Nevada,-,5,19,20,-,0,-,-,
New Mexico,-,2,5,10,-,0,-,-,
Utah,-,3,3,2,-,1,-,-,
Wyoming,-,1,-,-,-,1,-,-,
Pacific,4,82,132,546,-,2,-,-,
Alaska,2,7,24,19,-,0,-,-,
California,-,71,14,420,-,2,-,-,
Hawaii,1,8,21,28,-,0,-,-,
Oregon,1,8,24,21,-,1,-,-,
Washington,-,10,49,58,-,0,-,-,
U.S. Territories,-,8,20,25,-,0,-,-,
American Samoa,-,0,-,-,-,0,-,-,
Commonwealth of Northern Mariana Islands,-,6,6,4,-,0,-,-,
Guam,-,3,10,18,-,0,-,-,
Puerto Rico,-,3,4,3,-,0,-,-,
U.S. Virgin Islands,-,1,-,-,-,0,-,-,
Non-U.S. Residents,-,0,-,-,-,0,-,-,
Total,39,325,888,1,805,-,14,5,6,
